vehicle,plate
Jeep Renegade 2021,QTA-3E41
Honda HR-V 2023,BRN-8C52
Toyota Yaris 2022,KLP-7T63
Chevrolet Tracker 2024,DMF-2R74
Hyundai Creta 2021,NSV-5P85
Fiat Argo 2023,LXZ-1N96
Volkswagen T-Cross 2022,RHU-4M17
Ford EcoSport 2019,PTA-6L28
Renault Duster 2020,GVK-9J39
Nissan Kicks 2023,HQB-2K40
Peugeot 2008 2021,MLR-5H51
Citroen C3 2024,VNP-7G62
Jeep Compass 2022,ZFD-8F73
Honda Fit 2020,WRC-3D84
Toyota Hilux 2023,BXM-6S95
Chevrolet Spin 2021,CKQ-1V16
Hyundai Tucson 2022,FJD-4X27
Fiat Pulse 2024,NGB-7Y38
Volkswagen Nivus 2023,TLS-9Z49
Mitsubishi ASX 2020,YPH-2Q50
